Ride,Park,Queue Time,Country,Continent,Operator
Rat Mill,Familypark,20,Austria,Europe,Compagnie des Alpes
Leonardo's Flying Machines,Familypark,17,Austria,Europe,Compagnie des Alpes
Azurgo,Familypark,14,Austria,Europe,Compagnie des Alpes
Flying Fish,Familypark,14,Austria,Europe,Compagnie des Alpes
Tractor Ride,Familypark,13,Austria,Europe,Compagnie des Alpes
Beaver Lodge,Familypark,12,Austria,Europe,Compagnie des Alpes
Crocodile Splash Ride,Familypark,12,Austria,Europe,Compagnie des Alpes
Temple Slide,Familypark,12,Austria,Europe,Compagnie des Alpes
Lightning of the Gods,Familypark,11,Austria,Europe,Compagnie des Alpes
Jumping Frog,Familypark,10,Austria,Europe,Compagnie des Alpes
Amazonia,Bellewaerde,32,Belgium,Europe,Compagnie des Alpes
Huracan,Bellewaerde,21,Belgium,Europe,Compagnie des Alpes
Bengal Rapid River,Bellewaerde,20,Belgium,Europe,Compagnie des Alpes
Dawson Duel,Bellewaerde,20,Belgium,Europe,Compagnie des Alpes
Rio do Cafe,Bellewaerde,19,Belgium,Europe,Compagnie des Alpes
Jungle Mission,Bellewaerde,17,Belgium,Europe,Compagnie des Alpes
Boomerang,Bellewaerde,14,Belgium,Europe,Compagnie des Alpes
Brazilian Buggies,Bellewaerde,13,Belgium,Europe,Compagnie des Alpes
Hampi,Bellewaerde,13,Belgium,Europe,Compagnie des Alpes
Wakala,Bellewaerde,13,Belgium,Europe,Compagnie des Alpes
Fury,Bobbejaanland,22,Belgium,Europe,Parques Reunidos
Naga Bay,Bobbejaanland,21,Belgium,Europe,Parques Reunidos
Dreamcatcher,Bobbejaanland,20,Belgium,Europe,Parques Reunidos
Terra Magma,Bobbejaanland,20,Belgium,Europe,Parques Reunidos
Typhoon,Bobbejaanland,19,Belgium,Europe,Parques Reunidos
Revolution,Bobbejaanland,16,Belgium,Europe,Parques Reunidos
Wild Water Slide,Bobbejaanland,16,Belgium,Europe,Parques Reunidos
Bob Express,Bobbejaanland,14,Belgium,Europe,Parques Reunidos
Speedy Bob,Bobbejaanland,13,Belgium,Europe,Parques Reunidos
Oki Doki,Bobbejaanland,12,Belgium,Europe,Parques Reunidos
Heidi the Ride,Plopsaland de Panne,22,Belgium,Europe,Plopsa
Bumba's World Trip,Plopsaland de Panne,18,Belgium,Europe,Plopsa
K3 Roller Skater,Plopsaland de Panne,17,Belgium,Europe,Plopsa
Plop's Woods,Plopsaland de Panne,17,Belgium,Europe,Plopsa
DinoSplash,Plopsaland de Panne,15,Belgium,Europe,Plopsa
SuperSplash,Plopsaland de Panne,15,Belgium,Europe,Plopsa
Anubis The Ride,Plopsaland de Panne,14,Belgium,Europe,Plopsa
Plopsa Express (Heidiland),Plopsaland de Panne,14,Belgium,Europe,Plopsa
Ride to Happiness,Plopsaland de Panne,14,Belgium,Europe,Plopsa
The Tractors,Plopsaland de Panne,14,Belgium,Europe,Plopsa
Tiki Waka,Walibi Belgium,32,Belgium,Europe,Compagnie des Alpes
Pulsar,Walibi Belgium,23,Belgium,Europe,Compagnie des Alpes
Vampire,Walibi Belgium,23,Belgium,Europe,Compagnie des Alpes
Kondaa,Walibi Belgium,22,Belgium,Europe,Compagnie des Alpes
Werewolf,Walibi Belgium,22,Belgium,Europe,Compagnie des Alpes
Challenge of Tutankhamon,Walibi Belgium,20,Belgium,Europe,Compagnie des Alpes
Cobra,Walibi Belgium,19,Belgium,Europe,Compagnie des Alpes
Psyke Underground,Walibi Belgium,18,Belgium,Europe,Compagnie des Alpes
Radja River,Walibi Belgium,17,Belgium,Europe,Compagnie des Alpes
Calamity Mine,Walibi Belgium,15,Belgium,Europe,Compagnie des Alpes
Madagascar Crazy River Adventure!,Beto Carrero World,81,Brazil,South America,Other
Tchibum,Beto Carrero World,57,Brazil,South America,Other
Spin Blast,Beto Carrero World,47,Brazil,South America,Other
Raskapuska,Beto Carrero World,46,Brazil,South America,Other
Star Mountain,Beto Carrero World,46,Brazil,South America,Other
Firewhip,Beto Carrero World,40,Brazil,South America,Other
Roda-Gigante,Beto Carrero World,38,Brazil,South America,Other
Tigor Mountain,Beto Carrero World,38,Brazil,South America,Other
Big Tower,Beto Carrero World,37,Brazil,South America,Other
Rebulico,Beto Carrero World,32,Brazil,South America,Other
Yukon Striker,Canada's Wonderland,42,Canada,North America,Six Flags
Leviathan,Canada's Wonderland,40,Canada,North America,Six Flags
Snoopy's Racing Railway,Canada's Wonderland,40,Canada,North America,Six Flags
Wonder Mountain's Guardian,Canada's Wonderland,37,Canada,North America,Six Flags
White Water Canyon,Canada's Wonderland,33,Canada,North America,Six Flags
Backlot Stunt Coaster,Canada's Wonderland,32,Canada,North America,Six Flags
Vortex,Canada's Wonderland,32,Canada,North America,Six Flags
Behemoth,Canada's Wonderland,30,Canada,North America,Six Flags
Ghoster Coaster,Canada's Wonderland,29,Canada,North America,Six Flags
The Fly,Canada's Wonderland,28,Canada,North America,Six Flags
Monstre,La Ronde,47,Canada,North America,Six Flags
Toboggan Nordique,La Ronde,46,Canada,North America,Six Flags
Titan,La Ronde,32,Canada,North America,Six Flags
Splash,La Ronde,31,Canada,North America,Six Flags
Dragon,La Ronde,27,Canada,North America,Six Flags
Chaos,La Ronde,21,Canada,North America,Six Flags
Boomerang,La Ronde,20,Canada,North America,Six Flags
La Marche du Mille-pattes,La Ronde,20,Canada,North America,Six Flags
Goliath,La Ronde,19,Canada,North America,Six Flags
Orbite,La Ronde,18,Canada,North America,Six Flags
Dodgem,Chimelong Paradise,36,China,Asia,Chimelong Group
Rocket Roller Coaster,Chimelong Paradise,28,China,Asia,Chimelong Group
Pegasus Family Roller Coaster,Chimelong Paradise,27,China,Asia,Chimelong Group
10-Ring Roller Coaster,Chimelong Paradise,24,China,Asia,Chimelong Group
Flying Wheel,Chimelong Paradise,24,China,Asia,Chimelong Group
Vertical Roller Coaster,Chimelong Paradise,23,China,Asia,Chimelong Group
Four-Dimensional Cinema,Chimelong Paradise,21,China,Asia,Chimelong Group
Hop On and Off with Joy,Chimelong Paradise,21,China,Asia,Chimelong Group
Super Big Pendulum,Chimelong Paradise,21,China,Asia,Chimelong Group
Rapids,Chimelong Paradise,20,China,Asia,Chimelong Group
4D Cinema,Chimelong Safari Park,32,China,Asia,Chimelong Group
The Train Operates,Chimelong Safari Park,32,China,Asia,Chimelong Group
Cable Car Panda Paradise Station (Swan Lake),Chimelong Safari Park,22,China,Asia,Chimelong Group
Cable Car Panda Paradise Station (Huanyuan),Chimelong Safari Park,16,China,Asia,Chimelong Group
Cable Car Panda Paradise Station (African Savannah),Chimelong Safari Park,14,China,Asia,Chimelong Group
Soaring over the Horizon,Shanghai Disneyland,83,China,Asia,Disney
Seven Dwarfs Mine Train,Shanghai Disneyland,66,China,Asia,Disney
Zootopia Hot Pursuit,Shanghai Disneyland,56,China,Asia,Disney
Roaring Rapids,Shanghai Disneyland,55,China,Asia,Disney
Rex's Racer,Shanghai Disneyland,47,China,Asia,Disney
Tron Lightcycle Power Run,Shanghai Disneyland,43,China,Asia,Disney
Jet Packs,Shanghai Disneyland,35,China,Asia,Disney
Selfie Spot with Princesses,Shanghai Disneyland,34,China,Asia,Disney
Peter Pan's Flight,Shanghai Disneyland,31,China,Asia,Disney
The Many Adventures of Winnie the Pooh,Shanghai Disneyland,31,China,Asia,Disney
Flight of the Hippogriff,Universal Studios Beijing,64,China,Asia,Universal
Jurassic Flyers,Universal Studios Beijing,56,China,Asia,Universal
Harry Potter and the Forbidden Journey,Universal Studios Beijing,54,China,Asia,Universal
Jurassic World Adventure,Universal Studios Beijing,37,China,Asia,Universal
Transformers: Battle for the Allspark,Universal Studios Beijing,37,China,Asia,Universal
Loop-Dee Doop-Dee,Universal Studios Beijing,35,China,Asia,Universal
Despicable Me Minion Mayhem,Universal Studios Beijing,33,China,Asia,Universal
Decepticoaster,Universal Studios Beijing,29,China,Asia,Universal
Raptor Encounter,Universal Studios Beijing,26,China,Asia,Universal
Ollivanders,Universal Studios Beijing,17,China,Asia,Universal
DrageKongen,Djurs Sommerland,22,Denmark,Europe,Other
Juvelen,Djurs Sommerland,19,Denmark,Europe,Other
Rio Grande Rafting,Djurs Sommerland,18,Denmark,Europe,Other
Piraten,Djurs Sommerland,17,Denmark,Europe,Other
Thor's Hammer,Djurs Sommerland,17,Denmark,Europe,Other
Fossilvaskeren,Djurs Sommerland,16,Denmark,Europe,Other
Den Vilde Honsejagt,Djurs Sommerland,14,Denmark,Europe,Other
Tigeren,Djurs Sommerland,14,Denmark,Europe,Other
Dino Xpedition,Djurs Sommerland,13,Denmark,Europe,Other
Skatteoen,Djurs Sommerland,13,Denmark,Europe,Other
Flagermusen,Farup Sommerland,12,Denmark,Europe,Other
4D-Biografen,Farup Sommerland,11,Denmark,Europe,Other
Fonix,Farup Sommerland,11,Denmark,Europe,Other
Heste,Farup Sommerland,10,Denmark,Europe,Other
Farup Rafting,Farup Sommerland,9,Denmark,Europe,Other
Lynet,Farup Sommerland,9,Denmark,Europe,Other
Orkanen,Farup Sommerland,8,Denmark,Europe,Other
Saven,Farup Sommerland,8,Denmark,Europe,Other
Flodraketten,Farup Sommerland,6,Denmark,Europe,Other
Mine-Expressen,Farup Sommerland,6,Denmark,Europe,Other
Flying Eagle,Legoland Billund,22,Denmark,Europe,Merlin
Emmet's Flying Adventure,Legoland Billund,16,Denmark,Europe,Merlin
X-treme Racers,Legoland Billund,14,Denmark,Europe,Merlin
Lego Canoe,Legoland Billund,13,Denmark,Europe,Merlin
Polar X-plorer,Legoland Billund,13,Denmark,Europe,Merlin
Apocalypseburg Sky Battle,Legoland Billund,12,Denmark,Europe,Merlin
The Dragon,Legoland Billund,12,Denmark,Europe,Merlin
Ghost: The Haunted House,Legoland Billund,9,Denmark,Europe,Merlin
Ninjago: The Ride,Legoland Billund,9,Denmark,Europe,Merlin
The Temple,Legoland Billund,6,Denmark,Europe,Merlin
Wicker Man,Alton Towers,48,United Kingdom,Europe,Merlin
The Smiler,Alton Towers,46,United Kingdom,Europe,Merlin
Thirteen,Alton Towers,34,United Kingdom,Europe,Merlin
Rita,Alton Towers,33,United Kingdom,Europe,Merlin
